,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9
28914,-374072414715.83984,85968802520.41814,5176270447.670689,91816160.29958738,-11398.994639924193,2761.5935565557274,-450.54434021029743,-6.293767687478915,938.6443450476368,-3.2904703344136554
106878,-374051034493.45703,189778860673.00073,-4432209732.750044,-102975435.4774364,-8551.1267126277,806.7537977344741,-239.4627939677094,10.12311724246688,-33.110144242213416,-11.816430112159525
107041,-374241423653.197,127340148478.98473,-171022299.2641012,-49653489.75995677,-19168.180438398555,-1762.007043254781,-123.0893005133578,-3.497138849581718,-37.0487394053555,22.05451400197081
159131,-374135945545.48804,233225142553.7203,-3994964871.3777018,103457084.72369581,1260.587437268567,4378.500625911307,-705.6911084279708,123.35250892363977,-46.9921135771297,2.215433281665644
166486,-374497496318.85754,-77914837498.95241,-9800198967.938305,-45948417.92604476,11792.348963095208,-1435.0698691874954,-10.061259960427497,-38.808187455298,2.3333164878336268,-6.39975578296332
186759,-374480917939.0773,-80495403911.85419,-9383663815.938736,23189721.454453614,17975.155492927042,795.2079895305518,-194.26761770827298,68.23230197435849,-9.1845920453681,-0.14061988667559552
207524,-374616983173.44543,-86144538218.95784,-2729610191.5959425,-9798444.214650892,-26613.756827943398,3643.271673770145,-113.20703391782216,-27.54843195033249,8.540464189432313,-3.700844011690615
210852,-374519947376.98047,-87220710017.63861,-8878002910.873833,-15556349.53547486,-8696.884284826516,-21.415636638636208,-24.723270842558126,6.312602135598823,2.8372138107713814,-3.422088088235548
211401,-374471580984.0006,-77902199383.36203,-10588578819.452385,14106809.683623472,8197.965623052414,439.65200167892726,-140.1556678731682,79.66617184007482,1.4218675506777883,-1.2895572372602204
217764,-374722457439.9718,-84471918516.95337,4928591629.209816,-49952361.97088981,19704.297399439027,3824.6602305541096,-227.82474808054107,-23.656472739920126,13.199494759958949,-9.676445008471587
223009,-374409960657.692,-74660739052.37802,-11824686926.174366,-94031559.88515459,6132.656538999152,-1830.4242218768654,82.37961617079449,-4.388970787815153,16.39487545432607,-1.85690873934948
243840,-374298420369.05707,124947036985.44095,154717696.05294123,-44825989.793688014,-22909.282356555876,-786.5316896242491,466.8089252049981,0.6026149219503655,20.834236275961405,-8.502513374762627
260877,-374447584568.576,50473288355.5828,5848852744.223842,-73440118.8580516,16496.408255811002,6423.685450573934,-390.0023262637177,-102.05122704845807,-6.618063615953252,-0.6305766791262506
286189,-374307017803.96625,118888241913.53008,595232520.4914893,-98823627.89702179,-10902.109097776101,-936.4678430963327,-108.01841267566613,-34.245707657513464,-29.967401980380362,-12.480529109546232
376455,-374988484355.406,207585748522.1852,-7352981470.57028,-106859901.38186392,-4734.650213891213,1138.214295080084,-273.2268365182064,12.485327926862231,-33.457581963304385,-11.657342012011886
439736,-374243026942.7342,57618321995.039314,6715242325.05921,95324638.15369023,-27008.461670628654,1508.9374506264746,-333.8339566299447,-22.094882326263267,-23.688893769568214,2.4752354988200467
